lambda_h2,Temperature
1,"1,073"
1.5,"1,073"
2,"1,073"
2.5,"1,073"
3,"1,073"
3.5,"1,073"
4,"1,073"
4.5,"1,073"
5,"1,073"
1,"1,123"
1.5,"1,123"
2,"1,123"
2.5,"1,123"
3,"1,123"
3.5,"1,123"
4,"1,123"
4.5,"1,123"
5,"1,123"
1,"1,173"
1.5,"1,173"
2,"1,173"
2.5,"1,173"
3,"1,173"
3.5,"1,173"
4,"1,173"
4.5,"1,173"
5,"1,173"
1,"1,198"
1.5,"1,198"
2,"1,198"
2.5,"1,198"
3,"1,198"
3.5,"1,198"
4,"1,198"
4.5,"1,198"
5,"1,198"
1,"1,223"
1.5,"1,223"
2,"1,223"
2.5,"1,223"
3,"1,223"
3.5,"1,223"
4,"1,223"
4.5,"1,223"
5,"1,223"
1,"1,248"
1.5,"1,248"
2,"1,248"
2.5,"1,248"
3,"1,248"
3.5,"1,248"
4,"1,248"
4.5,"1,248"
5,"1,248"
1,"1,273"
1.5,"1,273"
2,"1,273"
2.5,"1,273"
3,"1,273"
3.5,"1,273"
4,"1,273"
4.5,"1,273"
5,"1,273"
1,"1,298"
1.5,"1,298"
2,"1,298"
2.5,"1,298"
3,"1,298"
3.5,"1,298"
4,"1,298"
4.5,"1,298"
5,"1,298"
1,"1,323"
1.5,"1,323"
2,"1,323"
2.5,"1,323"
3,"1,323"
3.5,"1,323"
4,"1,323"
4.5,"1,323"
5,"1,323"
1,"1,348"
1.5,"1,348"
2,"1,348"
2.5,"1,348"
3,"1,348"
3.5,"1,348"
4,"1,348"
4.5,"1,348"
5,"1,348"
