Lambda,Temperature 
1,623
1,648
1,673
1,698
1,723
1,748
1,773
1,798
1,823
1,848
1,873
1,898
1,923
1,948
1,973
1.5,623
1.5,648
1.5,673
1.5,698
1.5,723
1.5,748
1.5,773
1.5,798
1.5,823
1.5,848
1.5,873
1.5,898
1.5,923
1.5,948
1.5,973
2,623
2,648
2,673
2,698
2,723
2,748
2,773
2,798
2,823
2,848
2,873
2,898
2,923
2,948
2,973
2.5,623
2.5,648
2.5,673
2.5,698
2.5,723
2.5,748
2.5,773
2.5,798
2.5,823
2.5,848
2.5,873
2.5,898
2.5,923
2.5,948
2.5,973
3,623
3,648
3,673
3,698
3,723
3,748
3,773
3,798
3,823
3,848
3,873
3,898
3,923
3,948
3,973
3.5,623
3.5,648
3.5,673
3.5,698
3.5,723
3.5,748
3.5,773
3.5,798
3.5,823
3.5,848
3.5,873
3.5,898
3.5,923
3.5,948
3.5,973
4,623
4,648
4,673
4,698
4,723
4,748
4,773
4,798
4,823
4,848
4,873
4,898
4,923
4,948
4,973
4.5,623
4.5,648
4.5,673
4.5,698
4.5,723
4.5,748
4.5,773
4.5,798
4.5,823
4.5,848
4.5,873
4.5,898
4.5,923
4.5,948
4.5,973
5,623
5,648
5,673
5,698
5,723
5,748
5,773
5,798
5,823
5,848
5,873
5,898
5,923
5,948
5,973
5.5,623
5.5,648
5.5,673
5.5,698
5.5,723
5.5,748
5.5,773
5.5,798
5.5,823
5.5,848
5.5,873
5.5,898
5.5,923
5.5,948
5.5,973
