Alpha,Temperature
0.94,773
0.94,798
0.94,823
0.94,848
0.94,873
0.94,898
0.94,923
0.94,948
0.94,973
0.94,998
0.94,1023
0.94,1048
0.93,773
0.93,798
0.93,823
0.93,848
0.93,873
0.93,898
0.93,923
0.93,948
0.93,973
0.93,998
0.93,1023
0.93,1048
0.92,773
0.92,798
0.92,823
0.92,848
0.92,873
0.92,898
0.92,923
0.92,948
0.92,973
0.92,998
0.92,1023
0.92,1048
0.91,773
0.91,798
0.91,823
0.91,848
0.91,873
0.91,898
0.91,923
0.91,948
0.91,973
0.91,998
0.91,1023
0.91,1048
0.9,773
0.9,798
0.9,823
0.9,848
0.9,873
0.9,898
0.9,923
0.9,948
0.9,973
0.9,998
0.9,1023
0.9,1048
0.89,773
0.89,798
0.89,823
0.89,848
0.89,873
0.89,898
0.89,923
0.89,948
0.89,973
0.89,998
0.89,1023
0.89,1048
